Sample ID,Floral,Country,Island,Year,Latitude,Longitude,Li,B,Na,Mg,Al,K,Ca,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Rb,Sr,Ag,Cs,Ba,La,Ce,Pb,Rb/Sr
100036 Avg,Manufacturing,New Zealand,South,2009,-42.06688429,173.3544868,0.023872348,4.411027855,14.22606465,23.58013137,0.553786348,377.3435071,30.82183521,0.001001641,0.025887556,0.308337141,4.633606943,0.003269085,0.057267937,0.380335113,13.14696173,0.019548475,0.274315467,0.130773371,0.000757365,0,0.116742202,0.000104083,0.000119038,0.095003357,2.097640108
100037 Avg,Manufacturing,New Zealand,South,2009,-42.06688429,173.3544868,0.027407277,5.392403229,16.06533211,31.35140112,0.777231513,458.7920542,34.31722431,0.001109745,0.021977827,0.331764768,2.041398236,0.002979785,0.039327145,0.278083053,5.852795303,0.02497637,0.322149788,0.161321226,0.000324812,0,0.154979286,0.000184724,0.00012915,0.134826366,1.996946066
100038 Avg,Manufacturing,New Zealand,South,2009,-42.06688429,173.3544868,0.022009696,4.830946165,13.0537443,30.98307129,0.347730222,428.8300718,31.76365485,0.00042765,0.022705589,0.376544004,2.550132685,0.002673101,0.075948638,1.017680997,3.387205737,0.021408287,0.286926614,0.146288621,6.63E-05,0,0.13173879,7.60E-05,5.65E-05,0.350724258,1.961373421
100039 Avg,Manuka,New Zealand,North,2009,-38.54068827,177.4557095,0.011628812,3.540172356,64.20817164,32.49790938,16.77163621,1530.207691,57.73672075,0.000739712,0.017628524,7.411058081,2.120376633,0.002630865,0.022877442,0.48941567,0.54146758,0.030647891,3.099806112,0.297077315,0.001366475,0.004723115,0.210065347,0.00053545,0.000439039,0.002660083,10.43434136
100040 Avg,Clover,New Zealand,South,2009,-43.26752575,172.1981159,0,5.609713873,48.90971478,13.39601448,0.49180087,350.7837715,42.02052048,0.00055478,0.005721305,0.245508871,1.582731086,0.004197935,0.04550568,0.236294806,2.379071209,0.005113389,0.452757068,0.064100087,0.000407284,0.0003499,0.031134955,0.00021774,0.000134175,0.030578978,7.063283227
100041 Avg,Clover,New Zealand,South,2009,-43.26752575,172.1981159,0,5.217880923,76.23827828,22.23720268,0.431433644,781.8815028,45.83407884,0.000522109,0.015733695,0.387071589,1.233575843,0.008151614,0.141622569,0.362989099,1.67647286,0.009959857,1.479506519,0.096724966,0.000779511,0.002444082,0.063785956,0.000231689,0.000214964,0.011097802,15.29601492
100053 Avg,Manuka,New Zealand,South,2009,-42.32908513,173.0973675,0.031534196,3.797575852,23.05732075,36.49172663,0.703159834,1737.812446,51.18556445,0.001027883,0.008334642,2.944806858,1.256358171,0.008193499,0.254666018,0.575491553,1.173646146,0.029561853,2.11616978,0.247167419,0,0.003922185,0.197456445,9.96E-05,0.000248965,0.016765448,8.561685777
100054 Avg,Manuka,New Zealand,South,2009,-42.29897655,173.0927019,0.030014702,3.814046141,18.39321034,39.71319883,0.781790999,1921.308533,47.5508794,0.001235599,0.023888352,2.103355734,1.2427358,0.009515044,0.368599591,0.48549232,0.760507086,0.025722825,2.519469552,0.239428756,0,0.005168391,0.174392701,7.74E-05,0.000257458,0.04673305,10.52283608
100107 Avg,Manuka,New Zealand,South,2009,-42.3510008,172.2221082,0.032342602,4.565402021,18.08234924,24.58017982,0.648293129,1122.88183,75.19526284,0.000574556,0.006515459,4.399302214,0.836032723,0.001670364,0.138730497,0.160461158,1.020676225,0.067516705,1.393119829,0.279372114,0,0.002782437,0.463849208,0.00064107,0.000216042,0.008709799,4.986610183
100126 Avg,Clover,New Zealand,North,2009,-37.3318114,175.1737712,0.003961177,3.578759069,70.48345862,17.61361212,1.048300273,485.9853328,32.95826437,0,0.005747191,1.404088347,0.855779525,0.003014663,0.034704459,0.171302926,1.002674364,0.011799499,1.740047643,0.062107689,0.005114416,0.018336225,0.079909191,0.000252243,0.000394633,0.003343515,28.01662195
100127 Avg,Manuka,New Zealand,North,2009,-37.32308835,175.110697,0.026963483,4.256556408,72.65827782,28.8672249,4.007365997,1312.096027,77.15931445,0.002001414,0.023248659,7.544667491,2.125995466,0.013569625,0.035311468,0.34787079,1.331568703,0.048807901,4.694987436,0.184707733,0,0.05853834,0.319079876,0.000735813,0.000737521,0.008195599,25.41846709
100141 Avg,Manuka,New Zealand,South,2009,-41.08369723,173.3243273,0.010015898,5.078294417,54.36777593,42.28880432,1.308989422,2264.956435,59.76872191,0.001735998,0.026342478,4.567643592,2.258889621,0.00556583,0.255280757,0.296221901,1.019539015,0.020075188,1.587683189,0.253427165,0,0.005953207,0.143910263,0.000128436,0.000180901,0.024916611,6.264850051
100145 Avg,Manuka,New Zealand,South,2009,-43.0227201,171.544945,0.018421346,4.091698857,13.38838068,50.75086282,1.218973052,2301.591563,47.63185432,0.001295791,0.007428298,1.786155669,1.498986373,0.009112407,0.468226164,0.499060678,0.8861547,0.038198632,4.647153009,0.242647688,0,0.027435454,0.257822041,0.000282223,0.000468873,0.003772432,19.15185365
100146 Avg,Manuka,New Zealand,South,2009,-43.0254122,171.5635029,0.009949526,3.807102586,12.64441099,63.08665932,0.744544052,2657.425871,40.79176583,0.000496914,0.00908396,1.875110485,1.100202887,0.008054105,0.306837339,0.594031414,1.16495814,0.040729789,4.768475663,0.239743223,0.026606967,0.02454465,0.284355831,0,0.000280613,0.006152276,19.88992895
100147 Avg,Manuka,New Zealand,South,2009,-43.1245475,171.4311651,0.038464254,4.050764764,18.21815558,55.44567787,0.480153639,2331.706114,48.06254399,0.000227286,0.005288773,0.906163206,2.117508966,0.008328188,0.270007269,0.527559452,1.895171836,0.026588784,5.548094479,0.280005919,0,0.054239616,0.187065559,0,0.000130783,0.00497177,19.81420428
100148 Avg,Manuka,New Zealand,South,2009,-43.1140967,171.4339581,0.03159526,4.506076844,17.74212903,51.9691835,0.742998082,2159.770687,47.25677056,0.000838155,0.00639621,0.877068887,1.054410723,0.00754578,0.262246187,0.421877469,0.91456697,0.027673273,3.962032357,0.224973625,0.001532408,0.023843668,0.188318907,6.48E-05,0.000255191,0.00439938,17.61109713
